input,output
['timePoint | today’s_afternoon_into_evening'],"“Significant impacts for today’s afternoon into evening commute,” the service said."
"['locationArea | our_area', 'timePoint | [at]_noon', 'weatherIntensity | moderate_to_heavy', 'weatherType | sleet', 'weatherType | snow']","“If you can, stay home, stay off the roads, today is going to be a mess as moderate to heavy snow/sleet [at rates of 1 inch per hour] hits our area beginning [at] noon.”"
"['locationArea | Massachusetts', 'timePoint | Tuesday_afternoon_through_Wednesday_morning', 'weatherType | Winter_Storm']","Most of Massachusetts is under a Winter Storm Warning, starting Tuesday afternoon through Wednesday morning."
['weatherType | snow'],"The service advised residents to get home early before the snow fully gets underway, because “it’ll get a lot worse right after.”"
"['locationArea | Boston', 'locationArea | Western_Massachusetts', 'timePoint | around_1_p.m.', 'timePoint | around_noon_on_Tuesday', 'weatherIntensity | Steady', 'weatherType | precipitation']","Steady precipitation is expected to start in Western Massachusetts around noon on Tuesday, beginning in Boston around 1 p.m."
"['locationArea | Boston', 'locationArea | interior_part_of_the_state', 'timePoint | around_5_a.m._Wednesday', 'timePoint | few_hours_later', 'weatherType | storm']",The storm is expected to exit the region starting around 5 a.m. Wednesday in Boston and a few hours later in the interior part of the state.
"['timePoint | Monday', 'weatherFrequency | breaks', 'weatherType | sun']",Monday promises breaks of sun and better conditions.
"['gustAmount | gusty_winds', 'locationArea | throughout_New_England', 'timePoint | Sunday', 'timePoint | Sunday_afternoon', 'timePoint | through_the_weekend', 'weatherType | Rain', 'weatherType | downpour', 'weatherType | wet', 'windAmount | windy']","Rain raging through the weekend is expected to disrupt travel on Sunday afternoon, with downpour throughout New England coupling with gusty winds to create a wet and windy Sunday."
"['locationArea | parts_of_New_England', 'windAmount | storms', 'windChange | move_off', 'windSpeedBft | 60-70_miles_per_hour']","In fact, with winds between 60-70 miles per hour, it’s possible parts of New England could see power outages before the storms move off."
"['locationArea | Massachusetts', 'timePoint | Monday', 'weatherFrequency | breaks', 'weatherType | sun', 'windAmount | storm']","But Monday promises breaks of sun and better conditions, even as the tail-end of the storm moves out of Massachusetts."
"['locationArea | off_the_coast_of_New_England', 'timePoint | Monday', 'timePoint | Sunday', 'timePoint | morning', 'weatherIntensity | some_scattered', 'weatherType | showers']","Choppy surf is to be expected off the coast of New England, but despite the possibility of some scattered showers, expect your morning commute on Monday to constitute a much more pleasant trip out of the house than any on Sunday."
"['cloudAmount | cloudy', 'timePoint | today', 'windSpeedBft | 50kmph']","The weather will be cloudy, with wind speed expected to reach up to 50kmph today."
"['locationArea | parts_of_UAE', 'timePoint | Wednesday_night', 'weatherIntensity | Heavy', 'weatherType | rains']",Heavy rains lashed parts of UAE on Wednesday night.
"['locationArea | in_the_UAE', 'weatherType | foggy', 'weatherType | rainy']","The National Center of Meteorology, NCM, has warned of the foggy conditions and rainy weekend in the UAE."
"['cloudAmount | cloudy', 'windSpeedBft | 50kmph']","According to the National Centre of Meteorology (NCM), today, the weather will be cloudy, with wind speed expected to reach up to 50kmph."
"['cloudAmount | partly_cloudy', 'timePoint | Friday', 'weatherIntensity | some_light', 'weatherType | rainfall']","By Friday, the weather will be partly cloudy, with some light rainfall expected."
['windChange | reduce'],Wind speeds will reduce and the seas will be moderate.
['timePoint | Saturday_and_Sunday'],Similar weather pattern will persist on Saturday and Sunday.
"['compassDirection | eastwards', 'locationArea | Himachal_Pradesh', 'locationArea | Kashmir', 'locationArea | North_India', 'locationArea | parts_of_Jammu', 'weatherType | Western_Disturbance', 'weatherType | clear_up']","To begin with North India, the Western Disturbance has moved away eastwards and now we expect weather to clear up from parts of Jammu and Kashmir and Himachal Pradesh."
"['locationArea | Uttarakhand', 'timePoint | afternoon_of_March_15', 'weatherType | scattered_rains']","However, scattered rains may continue over Uttarakhand until afternoon of March 15."
"['locationArea | over_the_foothills_of_West_Uttar_Pradesh.', 'weatherType | Isolated_rains']",Isolated rains are also possible over the foothills of West Uttar Pradesh.
"['locationArea | Delhi', 'locationArea | Haryana', 'locationArea | Rajasthan', 'weatherType | dry']","Weather in Punjab, Haryana, Delhi and Rajasthan will remain dry."
"['locationArea | Central_India', 'locationArea | East/Northeast_India', 'locationArea | Gangetic_West_Bengal', 'weatherChange | extending', 'weatherType | confluence_zone']","Moving to East/Northeast India, a confluence zone is seen extending from Central India towards Gangetic West Bengal."
"['locationArea | Gangetic_West_Bengal', 'locationArea | Jharkhand', 'locationArea | North_Odisha', 'weatherIntensity | light_to_moderate', 'weatherType | isolated_hailstorm', 'weatherType | rain', 'weatherType | thundershowers']","Therefore, we expect light to moderate rain and thundershowers with isolated hailstorm activity over Jharkhand, North Odisha and Gangetic West Bengal."
"['locationArea | Bihar', 'locationArea | East_Uttar_Pradesh', 'weatherIntensity | Light', 'weatherType | rains']",Light rains may also occur over few places in East Uttar Pradesh and Bihar.
"['locationArea | Arunachal_Pradesh', 'locationArea | Assam', 'locationArea | Assam', 'weatherIntensity | light', 'weatherType | cyclonic_circulation', 'weatherType | rains']","Due to the cyclonic circulation over Assam, light rains may occur in Assam and Arunachal Pradesh."
"['locationArea | Chhattisgarh', 'locationArea | East_Madhya_Pradesh', 'locationArea | central_India', 'weatherIntensity | scattered', 'weatherType | confluence_zone', 'weatherType | rains']","In central India, due to the above confluence zone, scattered rains may occur in Chhattisgarh and East Madhya Pradesh."
"['locationArea | Gujarat', 'locationArea | Maharashtra', 'locationArea | West_Madhya_Pradesh', 'temperatureHotCold | warm', 'weatherType | dry']","Weather of Maharashtra, West Madhya Pradesh and Gujarat will remain dry and warm."
"['locationArea | South_India', 'weatherIntensity | mostly', 'weatherType | dry']","Lastly in South India, due to the absence of any significant weather systems, weather will rmein mostly dry."
"['locationArea | Andhra_Pradesh', 'locationArea | Tamil_Nadu', 'locationArea | Telangana', 'temperatureChange | rise_marginally', 'temperatureHotCold | humid', 'timePoint | night', 'windDirection | Bay_of_Bengal']","As humid winds from Bay of Bengal are blowing over Telangana, Andhra Pradesh and Tamil Nadu, night temperatures are expected to rise marginally."
"['locationArea | TULSA,_Okla.']","TULSA, Okla."
"['locationArea | for_portions_of_Oklahoma', 'timePoint | On_Monday', 'weatherType | Tornado']","— On Monday, the National Weather Service issued a rare ""particularly dangerous situation"" in regards to a Tornado Watch for portions of Oklahoma."
"['weatherIntensity | intense', 'weatherOccurringChance | likely', 'weatherType | tornadoes']","According to the NWS online, this is used in the event that ""long-lived intense tornadoes are likely."""
"['cloudAmount | cloud', 'timePoint | over_the_next_few_days', 'weatherType | rain', 'windChange | windier']","The weather is set to be dull today, with a mixture of cloud and rain, becoming windier over the next few days."
"['locationArea | Preston', 'timePoint | this_morning']",What will the weather be like this morning in Preston?
"['temperatureCelsius | 6C', 'timePoint | 12pm', 'timePoint | This_morning', 'weatherType | overcast']","This morning will be overcast, with the temperature reaching 6C by 12pm."
"['locationArea | Preston', 'timePoint | this_afternoon']",What will the weather be like this afternoon in Preston?
"['timePoint | from_12pm_onwards', 'timePoint | throughout_the_afternoon', 'weatherIntensity | Heavy', 'weatherType | rain']",Heavy rain will hit from 12pm onwards and continue throughout the afternoon.
"['temperatureCelsius | 7C', 'timePoint | 5pm']",The temperature will reach its peak of 7C by 5pm.
"['locationArea | Preston', 'timePoint | this_evening_and_tonight']",What will the weather be like this evening and tonight in Preston?
"['timePoint | 7pm', 'timePoint | around_11pm', 'weatherChange | ease_off_completely', 'weatherChange | turn', 'weatherIntensity | Heavy', 'weatherIntensity | light', 'weatherType | rain']",Heavy rain will turn light by 7pm and ease off completely by around 11pm.
"['temperatureCelsius | 6C.', 'timePoint | Overnight']",Overnight temperature of 6C.
"['locationArea | Preston', 'timePoint | tomorrow']",What will the weather be like tomorrow in Preston?
"['cloudAmount | cloud', 'timePoint | Tomorrow', 'timePoint | throughout_the_day', 'weatherFrequency | small_periods', 'weatherFrequency | spells', 'weatherIntensity | heavy', 'weatherIntensity | light', 'weatherIntensity | some', 'weatherType | rain', 'weatherType | sunny']","Tomorrow will be similar, with a mixture of light and heavy rain, cloud and some small periods of sunny spells throughout the day."
['maximumTemperature | 9C.'],Maximum temperature of 9C.
"['cloudAmount | Largely_cloudy', 'timePoint | Saturday', 'weatherFrequency | at_times', 'weatherIntensity | some', 'weatherOccurringChance | possible', 'weatherType | rain', 'weatherType | snow', 'windAmount | gales', 'windAmount | very_windy', 'windChange | Turning', 'windDirection | coastal']",The Met Office forecast for the North West said: “Largely cloudy on Saturday with outbreaks of rain at times and some hill snow too. Turning very windy with coastal gales possible.”
"['timePoint | Sunday_to_Tuesday', 'timePoint | few_days', 'windAmount | windy']",The Met Office outlook for Sunday to Tuesday also adds: “A windy few days.”
"['locationArea | Preston', 'timePoint | long-term']",What is the long-term forecast for Preston?
"['timePoint | Tuesday', 'timePoint | Tuesday_12_March_to_Thursday_21_March', 'timePoint | Wednesday', 'weatherType | unsettled']",The Met Office UK outlook for Tuesday 12 March to Thursday 21 March said: “Tuesday and Wednesday will be unsettled.
"['temperatureHotCold | colder', 'weatherOccurringChance | Most_likely', 'weatherType | brighter', 'weatherType | rain', 'weatherType | showery']","Most likely, rain will be followed by brighter but colder showery conditions."
"['locationArea | in_the_north', 'locationArea | over_northern_hills', 'locationArea | to_lower_levels', 'locationArea | west', 'temperatureHotCold | cold', 'weatherFrequency | at_times', 'weatherIntensity | heaviest', 'weatherType | Rain', 'weatherType | snow']","Rain will be heaviest in the north and west and it will be cold enough for snow over northern hills, perhaps even to lower levels here at times."
"['weatherFrequency | at_times', 'windAmount | gales', 'windAmount | severe_gales', 'windAmount | windy']","“It will be windy for all, with gales or severe gales at times."
"['timePoint | though_the_rest_of_the_week', 'weatherType | unsettled']",Similar unsettled weather will continue though the rest of the week.
"['locationArea | in_the_north', 'locationArea | in_the_south', 'temperatureCelsius | around_average', 'temperatureHotCold | rather_cold']","“Temperatures will vary around average for the time of year in the south, but it will stay rather cold overall in the north.”"
"['weatherOccurringChance | potential', 'weatherType | wintry_showers']",There is also the potential for some wintry showers.
"['locationArea | Ireland', 'timePoint | towards_the_end_of_this_week', 'weatherFrequency | period', 'weatherIntensity | heavy', 'weatherIntensity | some', 'weatherOccurringChance | potential', 'weatherType | rain', 'weatherType | wet', 'weatherType | wintry_showers', 'windAmount | windy']","Met Eireann have warned a period of wet and windy weather is set to batter Ireland towards the end of this week, with the potential for heavy rain and even some wintry showers."
"['timePoint | Saturday_night', 'timePoint | Sunday']",The worst of the weather is expected to begin on Saturday night and continue on Sunday.
"['locationArea | Some_parts_of_the_country', 'minimumTemperature | -2C', 'temperatureCelsius | sub-zero', 'timePoint | Thursday', 'timePoint | overnight', 'weatherType | frost']","Some parts of the country are also expected to freeze in frost and sub-zero temperatures on Thursday, with lows of -2C overnight."
"['temperatureHotCold | Cool', 'timePoint | Thursday', 'weatherFrequency | spells', 'weatherIntensity | few_heavy', 'weatherIntensity | passing', 'weatherType | bright', 'weatherType | showers', 'weatherType | sunny', 'windAmount | breezy']","Met Eireann's forecast reads: ""Cool, bright and breezy on Thursday, with sunny spells and passing showers, a few heavy."
"['timePoint | during_the_afternoon', 'weatherIntensity | Blustery', 'windAmount | fresh', 'windAmount | moderate', 'windChange | fall_off', 'windDirection | northwest']","""Blustery northwest winds at first will fall off moderate to fresh during the afternoon."
"['locationArea | in_some_northern_parts', 'temperatureCelsius | 10C', 'temperatureCelsius | 7C', 'temperatureCelsius | little_lower']","""Temperatures of 7C to 10C are expected, but values may be a little lower in some northern parts."
"['minimumTemperature | +3C.', 'minimumTemperature | -2C', 'temperatureHotCold | Cold', 'temperatureHotCold | very_frosty', 'timePoint | overnight']","""Cold and very frosty overnight with lows of -2C to +3C."""
"['locationArea | in_the_south_and_southwest', 'maximumTemperature | 12C', 'temperatureHotCold | cold', 'temperatureHotCold | mild', 'timePoint | Friday', 'timePoint | by_the_weekend', 'weatherType | wet']","While conditions will remain relatively mild on Friday with highs of up to 12C in the south and southwest, the cold and wet weather will return by the weekend."
"['timePoint | for_the_rest_of_the_weekend_and_early_next_week', 'weatherType | Unsettled']","The national forecaster added: ""Unsettled for the rest of the weekend and early next week."
"['timePoint | Saturday_night', 'timePoint | Sunday', 'weatherIntensity | heavy', 'weatherOccurringChance | risk', 'weatherType | rain', 'weatherType | wet', 'weatherType | wintry_falls', 'windAmount | very_windy']","""Some uncertainty regarding the exact details, but wet and very windy weather looks set to develop on Saturday night and continue for a time Sunday, with heavy rain and with a risk of some wintry falls."
"['timePoint | for_later_Sunday_and_for_Monday', 'weatherChange | More', 'weatherType | showery', 'windAmount | windy', 'windChange | less']","""More showery and less windy for later Sunday and for Monday."
"['weatherFrequency | occasional', 'weatherFrequency | spells', 'weatherIntensity | Some', 'weatherType | dry', 'weatherType | showers', 'weatherType | wintry']","Some dry spells but occasional showers too, wintry."
"['temperatureHotCold | Cold', 'timePoint | at_night', 'weatherIntensity | some', 'weatherOccurringChance | risk', 'weatherType | frost', 'weatherType | icy_patches']","""Cold at night with some frost and a risk of icy patches."""
"['locationArea | SAN_ANTONIO', 'timePoint | 4:40_P.M.', 'weatherIntensity | Severe', 'weatherType | Thunderstorm']",SAN ANTONIO — UPDATE 4:40 P.M.: The Severe Thunderstorm Watch has been canceled in Bexar County
"['locationArea | Austin', 'locationArea | Boerne', 'locationArea | Cuero', 'locationArea | Eagle_Pass', 'locationArea | Kerrville', 'locationArea | Kingsland', 'locationArea | Pleasanton', 'locationArea | San_Antonio', 'locationArea | San_Marcos', 'locationArea | Uvalde', 'timePoint | until_7_p.m.', 'weatherIntensity | Severe', 'weatherType | Thunderstorm']","A Severe Thunderstorm Watch remains for San Antonio, Boerne, San Marcos, Pleasanton, Uvalde, Eagle Pass, Kerrville, Kingsland, Cuero and Austin until 7 p.m."
"['timePoint | Wednesday_evening', 'weatherIntensity | heavy', 'weatherType | rainfall', 'weatherType | thunderstorms']",Look for thunderstorms and heavy rainfall to continue into Wednesday evening.
"['timePoint | Wednesday_afternoon', 'windAmount | strongest', 'windChange | peak_out']",The strongest of storms look to peak out Wednesday afternoon.
"['timePoint | Wednesday_evening', 'windAmount | Storms', 'windChange | come_to_an_end']",Storms will come to an end Wednesday evening.
"['locationArea | some_areas_in_the_Hill_Country', 'precipitationAmount | 1_to_3_inches', 'precipitationAmount | 5_inches', 'weatherType | rain', 'weatherType | rain', 'windAmount | Storms']","Storms could drop 1 to 3 inches of rain, but some areas in the Hill Country may get up to 5 inches of rain."
"['timePoint | overnight_Wednesday_night', 'weatherType | wet']",The wet weather will end overnight Wednesday night.
"['timePoint | Thursday', 'weatherType | sunshine']",Look for sunshine to return as soon as Thursday.
"['timePoint | into_the_upcoming_weekend', 'weatherType | sunshine']",This sunshine will continue into the upcoming weekend.
"['locationArea | Chandrapur_in_Maharashtra', 'locationArea | in_the_country', 'temperatureCelsius | 47.8_degrees_Celsius', 'temperatureHotCold | hottest', 'timePoint | Wednesday']","Chandrapur in Maharashtra was the hottest place in the country on Wednesday as mercury rose to 47.8 degrees Celsius, it said."
"['locationArea | Delhi', 'locationArea | New_Delhi', 'locationArea | in_north,_central_and_western_parts_of_the_country', 'maximumTemperature | 46_degrees_Celsius', 'timePoint | Wednesday']","New Delhi: The maximum temperature in Delhi is expected to cross 46 degrees Celsius soon, private forecaster Skymet said on Wednesday, while predicting the heat wave conditions to continue for up to 12 days in north, central and western parts of the country."
"['locationArea | Chandrapur_in_Maharashtra', 'locationArea | in_the_country', 'temperatureCelsius | 47.8_degrees_Celsius', 'temperatureHotCold | hottest', 'timePoint | Wednesday']","Chandrapur in Maharashtra was the hottest place in the country on Wednesday as mercury rose to 47.8 degrees Celsius, it said."
"['locationArea | Delhi', 'temperatureCelsius | 42_degrees_Celsius', 'timePoint | Wednesday']","The day temperature in Delhi on Wednesday was 42 degrees Celsius, it said."
"['locationArea | Delhi', 'temperatureCelsius | 46_degrees_Celsius', 'temperatureHotCold | high', 'timePoint | soon', 'weatherOccurringChance | no_chances', 'weatherType | rains']","""Temperature in Delhi will cross 46 degrees Celsius soon since there is no pre-monsoon activity and whatever western disturbances are there, are feeble. There are no chances of rains. It will keep temperature high for 10-12 days,"" said Mahesh Palawat, Director at Skymet."
"['temperatureCelsius | 47_degrees_Celsius', 'timePoint | Wednesday']",The temperature in Vidarbha's Nagpur and Chandrapur was over 47 degrees Celsius on Wednesday.
"['locationArea | Vidarbha', 'locationArea | some_parts_of_Madhya_Pradesh', 'temperatureHotCold | severe_heat', 'weatherOccurringChance | very_likely']","According to the India Meteorological Department, heat wave to severe heat wave conditions in many parts are ""very likely"" to continue over Vidarbha and in some parts of Madhya Pradesh."
"['locationArea | Bihar', 'locationArea | Chandigarh_and_Delhi', 'locationArea | Haryana', 'locationArea | Jharkhand', 'locationArea | Marathwada', 'locationArea | Odisha', 'locationArea | Rajasthan', 'locationArea | Telangana', 'locationArea | Uttar_Pradesh', 'locationArea | isolated_pockets_over_central_Maharashtra', 'timePoint | during_next_two-three_days']","Heat wave is also expected at isolated pockets over central Maharashtra, Marathwada, Telangana, Haryana, Chandigarh and Delhi, Rajasthan, Bihar, Jharkhand, Uttar Pradesh, and Odisha during next two-three days."
"['locationArea | in_some_parts_of_Rajasthan', 'weatherType | dust_storm', 'weatherType | thunderstorm']","Meanwhile, thunderstorm and dust storm is expected in some parts of Rajasthan."
"['locationArea | Karnataka', 'locationArea | Kerala', 'locationArea | Nadu', 'locationArea | in_southern_states_of_Tamil', 'weatherOccurringChance | likely', 'weatherType | rains']","Also, rains are likely in southern states of Tamil Nadu, Karnataka and Kerala."
"['timePoint | during_the_next_four_days', 'weatherIntensity | widespread', 'weatherOccurringChance | very_likely', 'weatherType | Andaman', 'weatherType | Nicobar', 'weatherType | rainfall']","The IMD said widespread rainfall was ""very likely"" over Andaman & Nicobar during the next four days."
"['locationArea | northeastern_states', 'locationArea | over_Sub-Himalayan_West_Bengal_&_Sikkim', 'timePoint | from_30_May_onwards', 'weatherArea | isolated', 'weatherIntensity | Fairly_widespread_to_widespread', 'weatherIntensity | heavy', 'weatherOccurringChance | very_likely', 'weatherType | falls', 'weatherType | rainfall']","""Fairly widespread to widespread rainfall activity with isolated heavy falls very likely to occur over Sub-Himalayan West Bengal & Sikkim and northeastern states from 30 May onwards,"" it said in a release."
"['cloudAmount | cloudy', 'temperatureHotCold | cool', 'windAmount | windy']",UNUSUALLY windy and feeling cool under cloudy skies.
"['locationArea | northeast', 'timePoint | in_the_early_morning', 'weatherChange | clearing', 'weatherType | rain']",Outbreaks of rain clearing northeast in the early morning.
"['weatherChange | easing', 'weatherFrequency | spells', 'weatherIntensity | few', 'weatherType | showers', 'weatherType | sunny', 'windAmount | blustery']","Thereafter, a mixture of sunny spells, a few showers and blustery winds, easing later."
['maximumTemperature | 19_°C'],Maximum Temperature 19 °C.
"['timePoint | Sunday_and_Monday', 'weatherArea | in_places', 'weatherFrequency | spells', 'weatherIntensity | heavy', 'weatherIntensity | scattered', 'weatherType | showers', 'weatherType | sunny']","Sunday and Monday see a mix of sunny spells and scattered showers, heavy in places."
"['timePoint | Tuesday', 'weatherFrequency | persistent', 'weatherIntensity | heavy', 'weatherType | rain', 'windAmount | breezy']","A more breezy Tuesday with outbreaks of rain, those getting heavy and persistent."
"['locationArea | UK', 'timePoint | Saturday_June_8_to_Friday_June_21']",UK outlook for Saturday June 8 to Friday June 21
"['locationArea | in_the_south', 'weatherType | wet', 'windAmount | windy']","DULL, wet and unusually windy, especially in the south."
"['locationArea | across_southeast_Scotland', 'locationArea | north_Wales', 'locationArea | northwest_England']","A washout across southeast Scotland, northwest England and north Wales."
"['locationArea | east_or_northeast_England', 'locationArea | elsewhere', 'weatherFrequency | periods', 'weatherIntensity | Scattered', 'weatherIntensity | heavy', 'weatherType | showers', 'weatherType | sunshine', 'weatherType | thundery']","Scattered showers are never far away elsewhere, some heavy or thundery especially for east or northeast England, breaking up periods of sunshine."
"['timePoint | Sunday_and_Monday', 'weatherFrequency | spells', 'weatherIntensity | heavy', 'weatherOccurringChance | possibly', 'weatherType | Sunny', 'weatherType | showers', 'weatherType | thundery']","Sunny spells and showers continue into Sunday and Monday, these will be heavy and possibly thundery."
"['locationArea | into_southeastern_parts', 'timePoint | Tuesday', 'weatherChange | spreading', 'weatherIntensity | Heavy', 'weatherType | rain', 'windAmount | strong']",Heavy rain and strong winds spreading into southeastern parts on Tuesday.
"['temperatureHotCold | chilly', 'timePoint | Wednesday', 'windAmount | Windy']","Windy, chilly Wednesday."
"['compassDirection | north', 'locationArea | in_the_south', 'timePoint | during_the_day', 'weatherChange | spread', 'weatherType | Rain', 'weatherType | showers']","Rain in the south may spread further north during the day, with showers following behind."
"['locationArea | in_the_east', 'timePoint | Thursday_and_Friday', 'weatherType | wettest']",Thursday and Friday will see the wettest weather in the east.
['temperatureCelsius | little_below_average'],Temperatures stay a little below average.
"['locationArea | east', 'locationArea | in_the_north', 'locationArea | in_the_south', 'locationArea | west', 'timePoint | Next_weekend', 'weatherOccurringChance | possible', 'weatherType | bright', 'weatherType | dry', 'weatherType | wet', 'windAmount | windy']","Next weekend looks on the wet and windy side in the south and east, with dry and bright weather possible in the north and west."
"['timePoint | following_week', 'weatherFrequency | at_times', 'weatherFrequency | longer_spells', 'weatherFrequency | spells', 'weatherType | dry', 'weatherType | rain', 'weatherType | showers']","The following week could bring further showers or longer spells of rain at times, but more in the way of dry spells too."
"['temperatureCelsius | average', 'temperatureChange | rise']",Temperatures will perhaps rise to average.
"['locationArea | London', ""timePoint | Saturday's""]",Saturday's temperatures for London
"['locationArea | Detroit', 'timePoint | seven-day', 'timePoint | today', 'weatherType | rain']","The weather report shows more rain is in store for Detroit today, according to the seven-day forecast from drone-powered weather service Saildrone."
"['precipitationAmount | 0.09_inches', 'timePoint | Today’s', 'timePoint | for_the_balance_of_the_week', 'weatherOccurringChance | below_47_percent', 'weatherType | rain', 'weatherType | rain']","Today’s forecast predicts 0.09 inches of rain, while the chance of rain will remain below 47 percent for the balance of the week."
"['temperatureHotCold | warm', 'timePoint | The_next_few_days', 'timePoint | through_Monday']","The next few days will also bring warm temperatures, expected to stick around through Monday."
"['maximumTemperature | 84_degrees', 'timePoint | Saturday']",The weather will bring a high temperature of 84 degrees on Saturday.
"['cloudAmount | partly_cloudy', 'cloudChange | partially_clear', 'timePoint | through_Friday', 'timePoint | tomorrow']","Skies will partially clear tomorrow, remaining partly cloudy through Friday."
"['timePoint | in_the_course_of_the_week', 'timePoint | tomorrow', 'windAmount | fairly_calm', 'windSpeedBft | 8_mph']","Winds will continue to be fairly calm in the course of the week, with the highest speeds tomorrow at only 8 mph."
"['locationArea | New_England', 'timePoint | in_the_latter_half_of_the_day', 'weatherType | thunderstorms']",New England could see thunderstorms in the latter half of the day.
"['timePoint | Thursday', 'timePoint | Wednesday_night’s', 'weatherOccurringChance | greater', 'weatherOccurringChance | possibility', 'weatherType | precipitation', 'weatherType | showers']","While Wednesday night’s forecast indicated a possibility of showers, the chances for precipitation are greater on Thursday."
"['locationArea | Southern_New_England', 'locationArea | northern_and_western_Massachusetts', 'precipitationAmount | between_0.5_and_1.5_inches', 'timePoint | Thursday', 'weatherIntensity | most', 'weatherType | rain', 'weatherType | rainfall']","According to the National Weather Service, Southern New England can expect between 0.5 and 1.5 inches of rainfall Thursday, with the most rain expected to hit northern and western Massachusetts."
"['timePoint | in_the_afternoon_and_evening', 'weatherIntensity | heavy', 'weatherIntensity | minor', 'weatherType | flooding', 'weatherType | rainfall', 'weatherType | thunderstorms']","With the expectation of thunderstorms as well, the area could see heavy rainfall and minor flooding in the afternoon and evening."
"['maximumTemperature | mid-60s', 'maximumTemperature | mid-70s', 'temperatureCelsius | mid-60s', 'timePoint | evening’s']","High temperatures for the day will be in the mid-60s to mid-70s, while the evening’s lows will stay around the mid-60s."
"['locationArea | Fairfield', 'locationArea | New_Haven_counties', 'locationArea | inland_sections']",The National Weather Service has issued a Hazardous Weather Outlook for inland sections of both Fairfield and New Haven counties.
"['locationArea | Fairfield', 'locationArea | New_Haven_county', 'locationArea | inland_sections']",The National Weather Service has issued a Hazardous Weather Outlook for inland sections of Fairfield and New Haven county.
"['timePoint | late_tonight', 'weatherChange | end', 'weatherIntensity | spotty_light', 'weatherIntensity | widespread', 'weatherOccurringChance | low_probability', 'weatherType | Rain', 'weatherType | freezing_drizzle', 'weatherType | freezing_rain', 'weatherType | hazardous']","""There is a low probability for widespread hazardous weather. Rain could end as some spotty light freezing rain or freezing drizzle late tonight."""
"['compassDirection | south', 'temperatureHotCold | warm', 'timePoint | today', 'weatherType | rain']","""The rain will continue today as an approaching warm front stalls to the south and low pressure rides along it."
"['locationArea | south_and_east_of_Long_Island', 'timePoint | tonight', 'weatherChange | taper_off', 'weatherType | rain']","The low will pass south and east of Long Island tonight, and the rain will taper off"
"['weatherIntensity | patchy_light', 'weatherType | drizzle', 'weatherType | rain']",to patchy light rain or drizzle.
"['locationArea | inland', 'timePoint | late_tonight', 'weatherIntensity | Patchy', 'weatherOccurringChance | possible', 'weatherType | freezing_drizzle', 'weatherType | freezing_rain']",Patchy freezing rain or freezing drizzle may be possible well inland late tonight.
"['temperatureCelsius | few_degrees_above_normal', 'timePoint | Tuesday', 'weatherType | dry']","The area will dry out on Tuesday, with temperatures a few degrees above normal."
['locationArea | our_area'],Here is a detailed look at the forecast for our area:
['timePoint | Today'],Today
['weatherType | Rain'],Rain.
['maximumTemperature | 38'],High near 38.
['temperatureCelsius | between_25_and_30'],Wind chill values between 25 and 30.
"['windDirection | East', 'windSpeedBft | 13_to_17_mph']",East wind 13 to 17 mph.
"['weatherOccurringChance | 100%', 'weatherType | precipitation']",Chance of precipitation is 100%.
"['precipitationAmount | between_a_quarter_and_half_of_an_inch', 'weatherOccurringChance | possible', 'weatherType | precipitation']",New precipitation amounts between a quarter and half of an inch possible.
['timePoint | Tonight'],Tonight
"['timePoint | before_10pm', 'weatherOccurringChance | likely', 'weatherType | Rain']","Rain likely, mainly before 10pm."
"['cloudAmount | Mostly_cloudy', 'minimumTemperature | 33']","Mostly cloudy, with a low around 33."
['temperatureCelsius | between_25_and_30'],Wind chill values between 25 and 30.
"['windDirection | Northeast', 'windSpeedBft | 10_to_14_mph']",Northeast wind 10 to 14 mph.
"['weatherOccurringChance | 70%', 'weatherType | precipitation']",Chance of precipitation is 70%.
"['precipitationAmount | between_a_tenth_and_quarter_of_an_inch', 'weatherOccurringChance | possible', 'weatherType | precipitation']",New precipitation amounts between a tenth and quarter of an inch possible.
['timePoint | Tuesday'],Tuesday
"['maximumTemperature | 47', 'weatherIntensity | Partly', 'weatherType | sunny']","Partly sunny, with a high near 47."
"['temperatureCelsius | between_25_and_35', 'timePoint | early']",Wind chill values between 25 and 35 early.
"['timePoint | in_the_afternoon', 'windChange | west', 'windDirection | Northwest', 'windSpeedBft | 6_to_9_mph']",Northwest wind 6 to 9 mph becoming west in the afternoon.
['timePoint | Tuesday_Night'],Tuesday Night
"['cloudAmount | Cloudy', 'cloudChange | gradual_clearing', 'minimumTemperature | 30', 'timePoint | during_the_early_evening']","Cloudy during the early evening, then gradual clearing, with a low around 30."
['temperatureCelsius | between_20_and_25'],Wind chill values between 20 and 25.
"['windDirection | West', 'windSpeedBft | 8_to_10_mph']",West wind 8 to 10 mph.
"[""timePoint | New_Year's_Day""]",New Year's Day
"['maximumTemperature | 42', 'weatherIntensity | Mostly', 'weatherType | sunny']","Mostly sunny, with a high near 42."
"['gustAmount | gusts', 'gustVelocity | 25_mph', 'windDirection | West', 'windSpeedBft | 9_to_14_mph']","West wind 9 to 14 mph, with gusts as high as 25 mph."
['timePoint | Wednesday_Night'],Wednesday Night
"['minimumTemperature | 26', 'weatherIntensity | Mostly', 'weatherType | clear']","Mostly clear, with a low around 26."
['maximumTemperature | mid_80s'],Highs in the mid 80s
